afraid	испуганное
amazed	изумлённое
amorous	влюбчивое
angry	рассерженное
annoyed	раздражённое
anxious	озабоченное
aroused	пробуждённое
ashamed	пристыженное
bored	скучающее
brave	смелое
calm	спокойное
cautious	осторожное
cold	холодно
confident	уверенное
confused	в замешательстве
contemplative	задумчивое
contented	довольное
cranky	недовольное
crazy	сумасшедшее
creative	творческое
curious	любознательное
dejected	удручённое
depressed	подавленное
disappointed	разочарованное
disgusted	чувствую отвращение
dismayed	встревоженное
distracted	растерянное
embarrassed	смущённое
envious	завистливое
excited	взволнованное
flirtatious	кокетливое
frustrated	расстроенное
grateful	благодарное
grieving	огорчённое
grumpy	ворчливое
guilty	виноватое
happy	счастливое
hopeful	обнадёженное
hot	жарко
humbled	смиренное
humiliated	оскорблённое
hungry	хочу есть
hurt	уязвлённое
impressed	под впечатлением
in_awe	подчинённое
in_love	влюблённое
indignant	возмущённое
interested	заинтересованное
intoxicated	опьянённое
invincible	неукротимое
jealous	ревнивое
lonely	одинокое
lost	потерянное
lucky	удачливое
mean	сволочное
moody	капризное
nervous	нервное
neutral	безразличное
offended	обиженное
outraged	разбитое
playful	игривое
proud	горделивое
relaxed	расслабленное
relieved	угасающее
remorseful	раскаивающееся
restless	неугомонное
sad	печальное
sarcastic	язвительное
satisfied	удовлетворённое
serious	серьёзное
shocked	потрясённое
shy	застенчивое
sick	болезненное
sleepy	сонное
spontaneous	спонтанное
stressed	напряжённое	
strong	сильное
surprised	удивлённое
thankful	благодарственное
thirsty	хочу пить
tired	усталое
undefined	неопределённое
unknown	неизвестное
weak	слабое
worried	беспокойное
-	<нет настроения>
