afraid	испуганное
amazed	изумленное
amorous	влюбчивое
angry	рассерженное
annoyed	раздраженное
anxious	озабоченное
aroused	пробужденное
ashamed	пристыженное
bored	скучающее
brave	смелое
calm	спокойное
cautious	осторожное
cold	холодно
confident	уверенное
confused	в замешательстве
contemplative	задумчивое
contented	довольное
cranky	недовольное
crazy	сумасшедшее
creative	творческое
curious	любознательное
dejected	удрученное
depressed	подавленное
disappointed	разочарованное
disgusted	чувствую отвращение
dismayed	встревоженное
distracted	растерянное
embarrassed	смущенное
envious	завистливое
excited	взволнованное
flirtatious	кокетливое
frustrated	растерянное
grateful	благодарное
grieving	огорченное
grumpy	ворчливое
guilty	виноватое
happy	счастливое
hopeful	обнадеженное
hot	жарко
humbled	смиренное
humiliated	оскорбленное
hungry	хочу есть
hurt	уязвленное
impressed	под впечатлением
in_awe	подчиненное
in_love	влюбленное
indignant	возмущенное
interested	заинтересованное
intoxicated	опьяненное
invincible	неукротимое
jealous	ревнивое
lonely	одинокое
lost	потерянное
lucky	удачливое
mean	сволочное
moody	капризное
nervous	нервное
neutral	безразличное
offended	обиженное
outraged	разбитое
playful	игривое
proud	горделивое
relaxed	расслабленное
relieved	угасающее
remorseful	раскаивающееся
restless	неугомонное
sad	печальное
sarcastic	язвительное
satisfied	удовлетворенное
serious	серьезное
shocked	потрясенное
shy	застенчивое
sick	болезненное
sleepy	сонное
spontaneous	спонтанное
stressed	напряженное	
strong	сильное
surprised	удивленное
thankful	благодарственное
thirsty	хочу пить
tired	усталое
undefined	неопределенное
unknown	неизвестное
weak	слабое
worried	беспокойное
-	<нет настроения>
