afraid	испуганное
amazed	изумлённое
angry	рассерженное
annoyed	раздражённое
anxious	озабоченное
aroused	пробуждённое
ashamed	пристыженное
bored	скучающее
brave	смелое
calm	спокойное
cold	холодно
confused	в замешательстве
contented	довольное
cranky	недовольное
curious	любознательное
depressed	подавленное
disappointed	разочарованное
disgusted	чувствую отвращение
distracted	растерянное
embarrassed	смущенное
excited	взволнованное
flirtatious	кокетливое
frustrated	расстроенное
grumpy	ворчливое
guilty	виноватое
happy	счастливое
hot	жарко
humbled	смиренное
humiliated	оскорблённое
hungry	хочу есть
hurt	уязвлённое
impressed	под впечатлением
in_awe	подчинённое
in_love	влюблённое
indignant	возмущённое
interested	заинтересованное
intoxicated	опьянённое
invincible	неукротимое
jealous	ревнивое
lonely	одинокое
mean	сволочное
moody	унылое
nervous	нервное
neutral	безразличное
offended	обиженное
playful	игривое
proud	горделивое
relieved	угасающее
remorseful	раскаивающееся
restless	неугомонное
sad	печальное
sarcastic	язвительное
serious	серьёзное
shocked	потрясённое
shy	застенчивое
sick	болезненное
sleepy	сонное
stressed	напряжённое
surprised	удивлённое
thirsty	хочу пить
worried	беспокойное
-	<нет настроения>
