bombusmod.net.ru	BombusMod
bombus-im.org,voffk.org.ru/bombus	Bombus
bombusmod-qd	Bombus-QD
gajim.org	Gajim
google.com,gmail	Google
http://jabbrik.ru/caps,http://jabrvista.net.ru,bot,Bot,jabber-bot,freQ,freq	Jabber Bot
jimm.net.ru	Jimm aspro
kopete	Kopete
miranda-im	Miranda
pidgin,gaim.	Pidgin
psi-im.org	Psi
psi-dev.googlecode.com	Psi+
pyicqt.googlecode.com	PyICQ-t
qip	Qip
tkabber.jabber.ru	Tkabber
Ajabb,yandex	Ya.Online
http://pjc.googlecode.com/caps,Juick	Juick bot
mcabber	Mcabber
twitter	Twitter bot
http://isida-bot.com	Isida bot
JabRSS	RSS Bot
