// Arabic langfile for BombusMod  2013- mobile jabber client
// Copyright (c) 2005-2010, Eugene Stahov (evgs), http://bombus-im.org
// All rights reserved.
// Arabic By : Sam Amir (AnGeL EyEz , admin@syriatalk.sy )


xmlLang	ar
Jid	الحساب
Privacy Lists	قوائم الخصوصية
Message font	خط الرسائل
Roster font	خط قائمة الاسماء
Paste Body	لصق
Configure Room	برمجة الغرفة
Paste Subject	لصق الموضوع
Service Discovery	استكشاف الخدمات
User JID	حساب المستخدم
New list	قائمة جديدة
Default	افتراضي
Privacy rule	قاعدة الخصوصية
Use SSL	اسختدام شهادة SSL
Modify	تعديل
Update	تحديث
Account name	اسم الحساب
GMT offset	ازاحة (GMT+)
Time settings (hours)	إعدادات الوقت (ساعة)
Connected	متصل
Connect to 	الاتصال بـ
Alert Profile	ملف التنبيه
Move Up	تحريك للأعلى
Owners	المالكين
Ok	موافق
Minimize	تصغير
Room	غرفة
Messages	رسائل
Refresh	تحديث
Resolve Nicknames	تحديث الأسماء
Action	أمر
Ban	فصل نهائي
Leave Room	مغادرة الغرفة
Password	كلمة المرور
Actions >	الأوامر >
Activate	تفعيل
Affiliation	الانتساب
Accounts	الحسابات
Delete list	حذف القائمة
Account >	الحساب >
Select	اختيار
Subject	الموضوع
Quit	خروج
Edit list	تعديل القائمة
Registering	تسجيل
Done	تم
Error: 	خطأ: 
Browse	استكشاف
Save list	حفظ قائمة
Keep-Alive period	فترة تأكيد الاتصال
<New Group>	<مجموعة جديدة>
Send	إرسال
Priority	الأولوية
Failed	فشل
Set Priority	ضبط الأولوية
Delete rule	حذف قاعدة
Ignore-List	قائمة التجاهل
Roster request	تحميل الأسماء
Type	النوع
Name	الاسم
Username	اسم المستخدم
Fullscreen	شاشة كاملة
Add bookmark	إضافة للمفضلة
Conferences only	غرف فقط
Client Version	اصدار البرنامج
Discard Search	تجاهل البحث
Search Results	نتائج البحث
General	عام
Members	الأعضاء
Add Contact	إضافة شخص
Subscription	الاشتراك
Status >	الحالة >
Join	إنضمام
Startup actions	إوامر بدء التشغيل
Server	الخادم
Admins	المدراء
Make Ignore-List	تحديد قائمة التجاهل
Options	الاعدادات
Delete	حذف
Delete contact?	حذف الاضافة?
Authorize	قبول
Nicknames	الاسماء المستعارة
To archive	حفظ بالارشيف
Back	رجوع
Heap monitor	مراقبة الذاكرة المؤقتة
Message	رسالة
<Other>	<المزيد>
History	المحفوظات
Append	إضافة
Active Contacts	المحادثات الجارية
Select nickname	اختر الأسم المستعار
Group	مجموعة
Join conference	دخول غرف الدردشة
No	لا
Re-Enter Room	إعادة دخول الغرفة
New Message	رسالة جديدة
Add	إضافة
Logon	تسجيل دخول
Stanzas	اعلامات
at Host	على السيرفر
Join conferences	الدخول الى غرف الدردشة
Status	الحالة
Smiles	الابتسامات
Contact >	اوامر الاضافة >
Offline contacts	الغير متصلين
Transport	ناقل الخدمات
Composing events	اشعارات الارسال
Add Smile	اضافة ابتسامة
Nickname	الاسم المستعار
Revoke Voice	سحب حق التحدث
Not-in-list غير مضاف
Commands	الأوامر
- (Sign)	- (علامة)
Outcasts (Ban)	مفصول
Set affiliation to	تحديد الانتساب الى
Register Account	تسجيل حساب
Autologin	دخول تلقائي
Logoff	تسجيل خروج
Publish	نشر
Remove subscription	حذف الاشتراك
Set	ضبط
Application	تطبيق
Bookmarks	المفضلة
Test sound	إختبار الصوت
Startup	بدء التشغيل
Edit rule	تحرير قاعدة
Cancel	إلغاء
Close	اغلاق
Archive	الأرشيف
Conference	غرفة محادثة
Sound	صوت
Login failed	فشل تسجيل الدخول
Browse	استعراض
New Jid	حساب جديد
Plain-text password	كلمة المرور بتنسيق عادي
Paste Nickname	لصق الاسم المستعار
Kick	طرد
Remove readed	مسح المقروء
Grant Voice	منح حق التحدث
Move Down	نقل للأسفل
Quote	إقتباس
Roster elements	عناصر قائمة الاسماء
Popup from background	تكبير عند التصغير
Smiles	الإبتسامات
About	عن البرنامج
Resource	المصدر
Disconnected	تم قطع الاتصال
Edit	تحرير
Host name/IP (optional)	اسم او عنوان السيرفر (اختياري)
Add rule	اضافة قاعدة
Paste Jid	لصق الايميل
Goto URL	الذهاب الى الرابط
Clock offset	ازاحة الساعة
Yes	نعم
Suspend	تراجع
Alert Profile >	اعدادات التنبيهات >
My vCard	بطاقة تعريفي
Transports	نواقل الخدمات
New Account	حساب جديد
Self-contact	اضافتي
vCard	بطاقة التعريف
Set Subject	حدد الموضوع
Tools	أدوات
Port	المنفذ
Resume	استمرار
Are You sure want to discard 	هل حقا تريد التجاهل
 from OWNER to 	 من مالك الى 
Modify affiliation	تعديل الانتساب
Clear	مسح
Connect	اتصال
Unaffiliate	غير منتسب
Grant Moderator	تعين كـ مسؤول
Revoke Moderator	حذف المسؤولية
Grant Admin	تعين كـ مدير
Grant Ownership	تعين كـ مالك
Visitors are not allowed to send messages to all occupants	غير مسموح للزوار مراسلة المشتركين
 is inviting You to	 يدعوك لـ 
Ask subscription	يطلب إضافتك
Grant subscription	قبول الإضافة
Invite to conference	دعوة لغرفة الدردشة
Reason	السبب
You have been invited to 	لقد تمت دعوتك لـ 
Participants	المتواجدون
Abc	Abc
Room presences	الانضمام و الخروج
 is now known as 	 غير اسمه إلى 
 was banned 	 تم فصله نهائيا 
 was kicked 	 تم طرده 
 has been kicked because room became members-only	 تم طرده لأن الغرفة أصبحت للمشتركين فقط
 has left the channel	 غادر الغرفة
 has joined the channel as 	 إنضم للغرفة بصفة  
 and 	 و 
 is now 	 أصبح الآن 
Error	خطأ
Choose folder	إختيار المجلد
Sound volume	مستوى الصوت
Language	اللغة
Save history	تخزين المحفوظات
Save presences	تسجيل اشعارات الانضمام والخروج
Save conference history	تخزين محفوظات الغرفة
Save conference presences	تسجيل انضمام وخروج الغرفة
Convert to cp1251	تحويل إلى Windows-1251
History folder	مجلد المحفوظات
Copy	نسخ
Paste	لصق
Save template	حفظ القالب
Template	قالب
has set topic to	حدد الموضوع
Seen	آخر ظهور
Idle	الخمول
Main menu	القائمة الرئيسية
Choose status	إختيار الحالة
Add status	إضافة حالة
Remove status	حذف حالة
Address	العنوان
Make BackUp	نسخ احتياطي
Import from BackUp	استرجاع نسخة احتياطية
View	عرض
Stop	توقف
File transfers	عمليات نقل الملفات
Path	المسار
Accept file	استلام الملف
File	ملف
Save To	حفظ إلى
Sender	المرسل
Rejected	مرفوض
Send file	إرسال ملف
Can't open file	لا يمكن فتح الملف
New	جديد
New Template	قالب جديد
Save photo	حفظ الصورة
balloon ink	لون البالون
balloon background	خلفية البالون
messagelist & roster background	خلفية الرسائل والاسماء
messagelist & roster even lines	خطوط قائمة الرسائل والاسماء
messagelist & roster & common font	خط قائمة الاسماء و الرسائل
message subject	رسالة الموضوع
message highlight	رسالة العناوين الرئيسية
service discovery commands	اوامر استكشاف الخدمات
panels background	خلفية الرئيسية
header font	الخط الرئيسي
