afraid	przestraszony
amazed	zdumiony
angry	zły
annoyed	zirytowany
anxious	zatroskany
aroused	obudzony
ashamed	zawstydzony
bored	znudzony
brave	odważny
calm	spokojny
cold	zimny
confused	zmieszany
contented	zadowolony
cranky	zepsuty
curious	ciekawy
depressed	przygnębiony
disappointed	rozczarowany
disgusted	oburzony
distracted	roztargniony
excited	podekscytowany
embarrassed	zakłopotany
flirtatious	bałamutny
frustrated	rozbity
grumpy	w złym humorze
guilty	winny
happy	szczęśliwy
hot	gorący
humbled	pokorny
humiliated	poniżony
hungry	głodny
hurt	skrzywdzony
in_awe	w strachu
in_love	zakochany
indignant	oburzony
interested	zainteresowany
intoxicated	odurzony
invincible	niepokonany
impressed	pod wrażeniem
jealous	zazdrosny
lonely	samotny
mean	przeciętny
moody	markotny
nervous	nerwowy
neutral	neutralny
offended	obrażony
playful	żartobliwy
proud	dumny
relieved	ulga
remorseful	skruszony
restless	niespokojny
sad	smutny
sarcastic	sarkastyczny
serious	poważny
shocked	w szoku
shy	nieśmiały
sick	chory
sleepy	śpiący
stressed	zestresowany
surprised	zdziwiony
thirsty	spragniony
worried	zmartwiony
