// All rights reserved. salskY (11)
// (c) 2008 salskY <salas.millennium@gmail.com>
xmlLang	pl
//463
langfile	Polski 
Jid	JID 
Loading	  Ładowanie
Privacy Lists	Listy prywatności 
Existing groups	Istniejące Grupy 
Message font	Czcionka wiadomości 
Roster font	Czcionka kontaktów 
Paste Body	Wklej Tekst 
Configure Room	Konfiguracja 
Paste Subject	Wklej Temat 
Service Discovery	Przeglądarka serwera 
User JID	JID użytkownika 
New list	Nowa Lista 
Select (no login)	Wybierz 
Privacy rule	Zasada prywatności 
use SSL	Szyfrowane połączenie 
Modify	Modyfikuj 
Update	Odśwież 
Account name	Nazwa konta 
GMT offset	Różnica w stosunku do (GMT+) 
Time settings (hours)	Ustawienia zegara (godziny) 
Connected	Uwierzytelniono 
Connect to 	Łączę z 
Alert Profile	Profil dźwięku 
Move Up	Przenieś w Górę 
Move Down	Przenieś w Dół 
New conference	Nowy Czat 
Owners	Właściciele 
Ok	Оk 
Minimize	Minimalizuj 
Room	Pokój 
Messages	Wiadomości 
Refresh	Odśwież 
Resolve Nicknames	Ustal pseudonimy 
Action	Opcje 
Ban	Zablokuj 
Leave Room	Opuść pokój 
Password	Hasło 
Actions >	Opcje > 
Activate	Aktywuj 
Affiliation	Przynależność 
Accounts	Konta 
Delete list	Usuń listę 
Account >	Konta > 
Show Offlines	Pokaż Rozłączone kontakty 
Select	Wybierz 
Subject	Temat 
Group menu	Menu Grup 
Quit	Zakończ 
Add to roster	Dodaj do kontaktów 
Edit list	Edytuj Listę 
Registering	Rejestruję 
Done	Wykonano 
Error: 	Błąd: 
Browse	Przeglądaj 
Save list	Zapisz Listę 
Keep-Alive period	Czas podtrzymania połączenia 
<New Group>	<Nowa Grupa>
Send	Wyślij 
Priority	Priorytet 
Failed	Brak Uwierzytelnienia 
Set Priority	Ustaw Priorytet 
Delete rule	Usuń zasadę 
Roster request	Pobieranie kontaktów 
Type	Typ 
Name	Nazwa 
Username	Użytkownik 
fullscreen	Pełny ekran 
All Priorities	Wszystkie priorytety 
Add bookmark	Dodaj Zakładkę 
conferences only	Tylko konferencje 
Client Version	Wersja klienta 
Discard Search	Odrzuć Wyszukiwanie 
Search Results	Rezultaty Wyszukiwania
Members	Członkowie 
// offline	Rozłączony 
Add Contact	Dodaj kontakt 
Subscription	Autoryzacja 
Status >	Status > 
Join	Wejdź 
Startup actions	Akcje początkowe 
Server	Serwer 
Admins	Administratorzy 
Make Ignore-List	Utwórz Listę Ignorowania 
Options	Ustawienia ogólne 
Delete	Usuń 
Delete contact?	Usunąć kontakt? 
Authorize	Akceptuj 
Nicknames	Pseudonimy 
Decline	Odrzuć 
Entering setup	Wprowadzam ustawienia 
to Archive	Do Archiwum 
Back	Wróć 
heap monitor	Monitor pamięci 
Message	Wiadomość 
<Other>	<inny>
Append	Dokończ 
Active Contacts	Aktywne kontakty 
Select nickname	Wybierz pseudonim 
Group	Grupa 
Join conference	Dołącz do konferencji
No	Nie 
Yes	Tak 
Re-Enter Room	Wejdź ponownie 
New Message	Napisz 
Add	Dodaj 
Logon	Włącz 
Logoff	Wyłącz 
Login in progress	Logowanie w trakcie 
at Host	na Serwerze 
join conferences	Automatyczne wejście do konferencji 
Status	Status 
Smiles	Emotikony 
Contact >	Kontakt > 
Order	Zamów 
offline contacts	Rozłączone kontakty 
Recent	Poprzednie 
Transport	Transport 
composing events	Informacja komponowania 
Add Smile	Dodaj Emotikonę 
Nickname	Pseudonim 
Revoke Voice	Odbierz głos 
Commands	Komendy 
- (Sign)	- (znak)
Set default	Ustaw domyślnie 
