// Russian langfile for BombusMod - mobile jabber client
// Copyright (c) 2005-2010, Eugene Stahov (evgs), http://bombus-im.org
// All rights reserved.

xmlLang	ru
Jid	Jid
Privacy Lists	Списки приватности
Message font	Шрифт сообщений
Roster font	Шрифт ростера
Paste Body	Встав. тело сообщения
Configure Room	Конфигуратор комнаты
Paste Subject	Встав. тему сообщения
Service Discovery	Обзор сервисов
User JID	JID пользователя
New list	Новый список
Default	По умолчанию
Privacy rule	Правило приватности
Use SSL	Использовать SSL
Modify	Изменить
Update	Обновить
Account name	Имя аккаунта
GMT offset	Часовой пояс (GMT+)
Time settings (hours)	Настройки времени
Connected	Соединение установлено
Connect to 	Соединение с 
Alert Profile	Сигналы
Move Up	Сместить вверх
Owners	Владельцы
Ok	ОК
Minimize	Свернуть
Room	Комната
Messages	Сообщения
Refresh	Обновить
Resolve Nicknames	Преобразовать в ник
Action	Действие
Ban	Бан (ban)
Leave Room	Покинуть комнату
Password	Пароль
Actions >	Действия >
Activate	Активировать
Affiliation	Членство
Accounts	Аккаунты
Delete list	Удалить список
Account >	Аккаунты >
Select	Выбрать
Subject	Тема
Quit	Выход
Edit list	Редактировать список
Registering	Регистрация
Done	Выполнено
Error: 	Ошибка: 
Browse	Обзор
Save list	Сохранить список
Keep-Alive period	Период Keep-Alive
<New Group>	<Новая группа>
Send	Отправить
Priority	Приоритет
Failed	Ошибка соединения
Set Priority	Установить приоритет
Delete rule	Удалить правило
Ignore-List	Игнорируемые
Roster request	Получение ростера
Type	Тип
Name	Имя
Username	Имя пользователя
Fullscreen	Полноэкранный режим
Add bookmark	Добав. закладку
Conferences only	Только конференции
Client Version	Версия клиента
Discard Search	Сбросить результаты
Search Results	Результаты поиска
General	Общие
Members	Члены
Add Contact	Новый контакт
Subscription	Подписка
Status >	Статус >
Join	Присоединиться
Startup actions	Действия при запуске
Server	Сервер
Admins	Администраторы
Make Ignore-List	Создать список игнорируемых
Options	Настройки
Delete	Удалить
Delete contact?	Удалить контакт?
Authorize	Авторизовать
Nicknames	Ники
To archive	В архив
Back	Назад
Heap monitor	Монитор памяти (heap)
Message	Сообщение
<Other>	<Другой>
History	История сообщений
Append	Добавить
Active Contacts	Актив. контакты
Select nickname	Выбрать ник
Group	Группа
Join conference	Присоединиться к конференции
No	Нет
Re-Enter Room	Перезайти в комнату
New Message	Новое сообщение
Add	Добавить
Logon	Подключить
Stanzas	Станзы
at Host	Сервер
Join conferences	Автоматически входить в отмеченные конференции
Status	Статус
Smiles	Вкл/выкл смайлики
Contact >	Контакт >
Offline contacts	Показывать отключённых
Transport	Транспорты
Composing events	Уведомления о наборе текста
Add Smile	Смайлики
Nickname	Ник
Revoke Voice	Отнять право голоса
Not-in-list	Не в списке
Commands	Команды
- (Sign)	- (знак)
Outcasts (Ban)	Изгои (Ban)
Set affiliation to	Изменить членство на
Register Account	Зарегистрировать аккаунт
Autologin	Автосоединение
Logoff	Отключить
Publish	Опубликовать
Remove subscription	Удалить подписку
Set	Установить
Application	Приложение
Bookmarks	Закладки
Test sound	Тест звука
Startup	Запуск
Edit rule	Редактировать правило
Cancel	Отмена
Close	Закрыть
Archive	Архив
Conference	Конференции
Sound	Звук
Login failed	Ошибка авторизации
Browse	Обзор
New Jid	Новый Jid
Plain-text password	Пароль откр. текстом
Paste Nickname	Вставить ник
Kick	Выгнать (kick)
Remove readed	Удалить прочитанные сообщения
Grant Voice	Дать право голоса
Move Down	Сместить вниз
Quote	Цитировать
Roster elements	Элементы ростера
Popup from background	Всплывать из фона
Smiles	Показывать смайлы
About	О программе
Resource	Ресурс
Disconnected	Соединение разорвано
Edit	Редактировать
Host name/IP (optional)	Имя хоста/IP (необязательно)
Add rule	Добавить правило
Paste Jid	Вставить Jid
Goto URL	Перейти к URL
Clock offset	Смещение часов
Yes	Да
Suspend	Отложить
Alert Profile >	Сигналы >
My vCard	Личная vCard
Transports	Транспорты
New Account	Новый аккаунт
Self-contact	Свои контакты
vCard	vCard
Set Subject	Установить тему
Tools	Инструменты
Port	Порт
Resume	Возобновить
Are You sure want to discard 	Вы действительно хотите понизить у 
 from OWNER to 	 право OWNER до 
Modify affiliation	Изменение членства
Clear	Очистить
Connect	Подключиться
Unaffiliate	Отнять членство
Grant Moderator	Дать право модератора
Revoke Moderator	Отнять право модератора
Grant Admin	Дать право администратора
Grant Ownership	Дать право владельца
Visitors are not allowed to send messages to all occupants	Гости не могут посылать сообщения в общий чат
 is inviting You to 	 приглашает Вас в 
Ask subscription	Запросить подписку
Grant subscription	Разрешить подписку
Invite to conference	Пригласить в конференцию
Reason	Причина
You have been invited to 	Вы были приглашены в 
Participants	Участники
Abc	Абв
Room presences	статусы в конференции
 is now known as 	 меняет ник на 
 was banned 	 запретили входить в комнату 
 was kicked 	 выгнали из комнаты 
