// Copyright (c) 2005-2007, Eugene Stahov (evgs), http://bombus-im.org
// All rights reserved.

// ask server to send us localized messages
xmlLang	uk
langfile	Ukraine
Jid	Jid
Loading	Завантаженя
Privacy Lists	Списки приватностi
Existing groups	Наявнi групи
Message font	Шрифт повiдомлення
Roster font	Шрифт ростеру
Paste Body	Встав. тiло повiдомлення
Configure Room	Налаштувати кімнату
Paste Subject	Встав. тему повiдомлення
Service Discovery	Огляд сервiсiв
User JID	JID користувача
New list	Новий список
Select (no login)	Без підключення
Privacy rule	Правило приватностi
use SSL	використ. SSL
Modify	Змiнити
Update	Оновити
Account name	Iм'я облікового запису
GMT offset	Часовой пояс (GMT+)
Time settings (hours)	Налашт. часу
Connected	З'єднано
Connect to 	З'єднання з 
Alert Profile	Сигнали
Move Up	Перемістити вище
Move Down	Перемістити нижче
Owners	Власники
Ok	ОК
Minimize	Згорнути
Room	Кiмната
Messages	Повiдомлення
Refresh	Оновити
Resolve Nicknames	Перетворити в НIК
Action	Дiя
Ban	Бан (ban)
Leave Room	Покинути кiмнату
Password	Пароль
Actions >	Дiї >
Activate	Активувати
Affiliation	Членство
Accounts	Облікові записи
Delete list	Видалити список
Account >	Обліковий запис >
Show Offlines	Показати вiдключених
Select	Обрати
Subject	Тема
Group menu	Меню групп
Quit	Вихiд
Edit list	Редагувати список
Registering	Реєстрацiя
Done	Виконано
Error:	 Помилка: 
Browse	Огляд
Save list	Зберегти список
Keep-Alive period	Перiод підтримання з'єдання
<New Group>	<Нова группа>
Send	Надіслати
Priority	Пріоритет
Failed	Помилка з'єднання
Set Priority	Встановити пріоритет
Delete rule	Видалити правило
Roster request	Отримання ростеру
Type	Тип
Name	Iм'я
Username	Iм'я користувача
fullscreen	повноекранний
Add bookmark	Додат. закладку
conferences only	тiльки конференцiї
Client Version	Версiя клiенту
Discard Search	Скинути результати
Search Results	Результати пошуку
Members	Члени
// offline	Вiдключенi
Add Contact	Новий контакт
Subscription	Пiдписка
Status >	Статус >
Join	Приєднатися
Startup actions	Дiї пiд час запуску
Server	Сервер
Admins	Адмiнiстратори
Make Ignore-List	Створити Список інгнорованих
Options	Параметри
Delete	Видалити
Delete contact?	Видалити контакт?
Authorize	Авторизувати
Nicknames	НIКи
to Archive	В архiв
Back	Назад
heap monitor	монiтор пам'яті
Message	Повiдомленя
<Other>	<Iнший>
Append	Додати
Active Contacts	Актив. контакти
Select nickname	Обрати НIК
Group	Группа
Join conference	Приєднатися до конференцiї
No	Нi
Yes	Так
Re-Enter Room	Перезайти в кiмнату
New Message	Нове повiдомленя
Add	Додати
Logon	Пiдключити
Logoff	Вiдключити
at Host	Сервер
join conferences	автовхiд до конференцiй
Status	Статус
Smiles	Ввімк/вимк смайлики
Contact >	Контакт >
offline contacts	показати вiдключених
Transport	Транспорт
composing events	повідомлення про набір
Add Smile	Встав. смайлик
Nickname	НIК
Revoke Voice	Позбавити права голосу
Commands	Команди
- (Sign)	- (знак)
Set default	Встан. як основний
Outcasts (Ban)	Iiзгої (Ban)
Set affiliation to	Змінити членство на
Register Account	Зареєструвати обілковий запис
autologin	автоз'єднання
Publish	Публiкувати
Remove subscription	Видалити пiдписку
Set	Встановити
Application	Програма
Bookmarks	Закладки
Test sound	Відтворити
Startup	Запуск
Edit rule	Редагувати правило
Cancel	Відмінити
Close	Закрити
Archive	Архiв
Conference	Конференцiя
Login failed	Помилка авторизацiї
New Jid	Новий Jid
plain-text password	пароль вiдкр. текстом
Paste Nickname	Вставити НIК
Kick	Вигнати (kick)
Remove readed	Видалити прочитані повiдомлення
Grant Voice	надати право голосу
Quote	Цитувати
Roster elements	Елементи ростеру
popup from background	випливати з фону
smiles	смайлики
About	Про программу
Resource	Ресурс
Disconnected	З'єднання розiрвано
Edit	Редагувати
Host name/IP (optional)	Iм'я хоста/IP (необов'язково)
Add rule	Додати правило
for all status types	для всiх статусiв
Paste Jid	Вставити Jid
Goto URL	Перейти до URL
Clock offset	Зсув часу (годин)
Suspend	Вiдкласти
Resume Message	Чернетка
Alert Profile >	Сигнали >
My vCard	Моя візитна картка (vCard)
transports	транспорти
New Account	Нов. обл. запис
